strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
fewest_mandatory_supports,8,200460,True,complete,416.07286830301746,414.77119309594855,1.286408362997463,15,14,37,14,1295,23,1272,7,30,8,29,False,2,17,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
fewest_mandatory_supports,9,200461,False,max_replans,1435.5075192030054,1425.6212042149273,9.819478614925174,50,49,85,50,3880,35,3845,7,30,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/fewest_mandatory_supports/benchmark.csv
highest_first,0,200452,False,max_replans,1470.015718359995,1455.7826042030356,9.731913197028916,50,49,84,50,4167,34,4133,10,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
highest_first,1,200453,True,complete,729.6734659630165,720.0372291859821,9.57670358006726,43,42,80,42,1765,38,1727,10,26,9,29,False,2,17,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
highest_first,2,200454,False,max_replans,1041.034475352004,1032.9307064369787,8.040213843923993,50,49,67,50,2816,17,2799,10,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
highest_first,3,200455,False,max_replans,954.7492925400147,950.1003846941167,4.595210118044633,50,49,70,50,2386,20,2366,10,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
highest_first,4,200456,True,complete,498.78412167099304,496.70247119292617,2.0613956110319123,18,17,43,17,1239,26,1213,10,26,8,27,False,2,13,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
highest_first,5,200457,False,max_replans,1603.6301508590113,1594.2497287018923,9.313209259998985,50,49,86,50,3974,36,3938,10,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
highest_first,6,200458,False,max_replans,1518.2569155690144,1508.100000583945,10.087227813928621,50,49,82,50,3525,32,3493,10,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
highest_first,7,200459,True,complete,857.9462178280228,853.1542736309348,4.751220110891154,34,33,65,33,2550,32,2518,10,26,10,28,False,4,11,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
highest_first,8,200460,False,max_replans,1055.489083819004,1047.6979078631266,7.7253538699878845,50,49,90,50,3206,40,3166,10,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
highest_first,9,200461,False,max_replans,878.0604617729841,871.0018703019305,6.999024933873443,50,49,81,50,2614,31,2583,10,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/highest_first/benchmark.csv
default,0,200452,False,max_replans,1067.4455302880087,1056.6423069420853,6.252135893999366,50,49,79,50,3259,29,3230,14,21,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
default,1,200453,False,max_replans,1160.8527783390018,1154.3338668400247,6.463190548907733,50,49,66,50,3257,16,3241,14,21,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
default,2,200454,False,max_replans,1260.6414410799916,1254.6031119150575,5.9824576739629265,50,49,72,50,3573,22,3551,14,21,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
default,3,200455,False,max_replans,1635.5056767780043,1627.9558928090555,7.492014669987839,50,49,84,50,3920,34,3886,14,21,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
default,4,200456,False,max_replans,1133.6918442150054,1128.1059018329834,5.530939165037125,50,49,81,50,3603,31,3572,14,21,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
default,5,200457,False,max_replans,995.3383842350158,989.8142823519884,5.469778795086313,50,49,73,50,2609,23,2586,14,21,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
default,6,200458,True,complete,1013.5947896540165,1010.2670032080496,3.281308129953686,43,42,74,42,2963,32,2931,14,21,9,25,False,4,14,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
default,7,200459,False,max_replans,1424.2374137950246,1416.2170493658923,7.9555000069667585,50,49,81,50,4267,31,4236,14,21,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
default,8,200460,False,max_replans,1406.9066765519965,1398.7737387802335,8.067351402976783,50,49,82,50,4448,32,4416,14,21,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
default,9,200461,False,max_replans,1792.4367905080144,1785.0783692178957,7.294723756844178,50,49,84,50,4612,34,4578,14,21,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/evaluation/legacy/dual_arm_pose_support_fractions_0.5_0.6/default/benchmark.csv
