strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,rai_robot_import_time_s,rai_robot_template_restore_time_s,rai_builder_setup_time_s,rai_runtime_time_s,rai_runtime_percent,backward_search_runtime_percent,other_runtime_percent,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
fewest_mandatory_supports,0,200459,True,complete,16.926720706003834,13.21970059198793,0.1548919459892204,3.5247319100017194,0.0,3.5247319100017194,16.74443250198965,98.92307430848358,0.9150735613796765,0.1618521301367438,2,1,24,1,107,23,84,7,30,7,30,False,15,4,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200459/benchmark.csv
fewest_mandatory_supports,0,200460,True,complete,12.921692151998286,9.350620677010738,0.06918560899794102,3.4773698930075625,0.0,3.4773698930075625,12.8279905700183,99.27485053135634,0.5354222046471039,0.1897272639965582,1,0,20,0,62,20,42,7,30,7,30,True,20,0,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200460/benchmark.csv
fewest_mandatory_supports,0,200461,True,complete,1710.8939987940103,1523.3274135179818,183.3787861240271,3.4867351809953107,0.0,3.4867351809953107,1526.814148698977,89.24072150438374,10.718302025332296,0.04097647028397146,248,247,501,247,6868,254,6614,7,30,8,30,False,2,17,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/fewest_mandatory_supports/seed_200461/benchmark.csv
highest_first,0,200452,True,complete,118.68953839200549,113.20156699398649,1.8994737369794166,3.5460415849956917,0.0,3.5460415849956917,116.74760857898218,98.36385764126106,1.6003716609848728,0.03577069775405789,16,15,47,15,558,32,526,10,26,9,23,False,2,13,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/highest_first/seed_200452/benchmark.csv
highest_first,0,200453,True,complete,892.8702677279944,810.8120016180328,78.09851038909983,3.5898160159995314,0.0,3.5898160159995314,814.4018176340323,91.21166277676224,8.746904585346984,0.04143263789078141,166,165,334,165,3992,169,3823,10,26,6,24,False,1,14,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/highest_first/seed_200453/benchmark.csv
highest_first,0,200454,False,total_runtime_limit,2003.7501430819975,1705.0068137038033,294.0746607549954,3.595117576987832,0.0,3.595117576987832,1708.6019312807912,85.27020882218206,14.676214086386782,0.05357709143115412,308,307,609,308,7966,301,7665,10,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/highest_first/seed_200454/benchmark.csv
highest_first,0,200455,True,complete,1021.4979750600032,957.8853805480321,59.36295956299,3.924245062007685,0.0,3.924245062007685,961.8096256100398,94.15678240121255,5.811363410632605,0.03185418815483332,167,166,325,166,4675,159,4516,10,26,10,26,False,7,3,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/highest_first/seed_200455/benchmark.csv
highest_first,0,200456,True,complete,50.024425441995845,45.076300331013044,0.6957028160104528,4.2169482489989605,0.0,4.2169482489989605,49.293248580012005,98.53836029994658,1.3907262499538986,0.07091345009953247,6,5,25,5,193,20,173,10,26,9,26,False,5,10,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/highest_first/seed_200456/benchmark.csv
highest_first,0,200457,False,structural_runtime_limit,2000.0094638790033,1801.452260028047,194.12346284986415,3.657656847004546,0.0,3.657656847004546,1805.1099168750516,90.25506876222748,9.706127213686438,0.038804024086084826,274,273,523,273,7507,250,7257,10,26,0,0,,,,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/highest_first/seed_200457/benchmark.csv
highest_first,0,200458,True,complete,540.5635676079983,517.3705324419861,19.510352487006458,3.542927984002745,0.0,3.542927984002745,520.9134604259889,96.36488502749799,3.6092614552882383,0.025853517213773304,89,88,193,88,2661,105,2556,10,26,9,30,False,7,13,/home/mario/TAMP-scaffolding/experiments/results/report/one_arm_final_20mm_komo25_10seeds/highest_first/seed_200458/benchmark.csv
