strategy,repeat,seed,success,benchmark_stop_reason,total_time_s,pose_validation_time_s,structural_time_s,rai_robot_import_time_s,rai_robot_template_restore_time_s,rai_builder_setup_time_s,rai_runtime_time_s,rai_runtime_percent,backward_search_runtime_percent,other_runtime_percent,structural_plans_generated,structural_replans,rai_transition_attempts,rai_transition_failures,komo_calls,komo_feasible,komo_infeasible,first_plan_support_moves,first_plan_support_steps,support_moves,support_steps,first_to_final_exact_match,first_to_final_common_prefix_length,first_to_final_changed_positions,source_file
fewest_mandatory_supports,0,200458,True,complete,405.902959291001,385.31329149301746,16.989068129005318,3.4760901020054007,0.0,3.4760901020054007,388.78938159502286,95.78382534439493,4.185499942814034,0.03067471279104013,81,80,164,80,2071,84,1987,7,30,7,30,False,4,13,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200458/benchmark.csv
fewest_mandatory_supports,0,200459,True,complete,21.599378561004414,17.965097219996096,0.15357036900240928,3.4526712609949755,0.0,3.4526712609949755,21.41776848099107,99.15918840210884,0.7109943861054674,0.12981721178569633,2,1,22,1,94,21,73,7,30,7,30,False,15,4,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200459/benchmark.csv
fewest_mandatory_supports,0,200460,False,total_runtime_limit,2004.0950324549995,1703.6717089528684,295.9698376069646,3.442074947000947,0.0,3.442074947000947,1707.1137838998693,85.18127914366762,14.7682536413657,0.050467214966677804,317,316,602,317,8474,285,8189,7,30,0,0,,,,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200460/benchmark.csv
fewest_mandatory_supports,0,200461,True,complete,22.459430574999715,18.71657383999991,0.2942204699938884,3.420939128998725,0.0,3.420939128998725,22.137512968998635,98.5666706690266,1.310008590874046,0.12332074009935802,4,3,26,3,126,23,103,7,30,7,29,False,2,9,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/fewest_mandatory_supports/seed_200461/benchmark.csv
highest_first,0,200452,False,total_runtime_limit,2001.5005796379992,1755.3878178820269,241.89370530302767,3.3577751660013746,0.0,3.3577751660013746,1758.7455930480282,87.87135067261,12.085617549347786,0.04303177804220485,287,286,558,287,7318,271,7047,10,26,0,0,,,,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200452/benchmark.csv
highest_first,0,200453,True,complete,243.0598195220009,232.5618371679957,6.906276696008717,3.5148527220007963,0.0,3.5148527220007963,236.0766898899965,97.1269913531009,2.84138970792891,0.03161893897018483,44,43,89,43,1248,46,1202,10,26,9,26,False,7,12,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200453/benchmark.csv
highest_first,0,200454,True,complete,25.622564147000958,21.78212455999892,0.41235592799421283,3.396927870999207,0.0,3.396927870999207,25.179052430998127,98.26905803237206,1.6093468461175764,0.12159512151037033,4,3,23,3,130,20,110,10,26,10,26,False,12,6,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200454/benchmark.csv
highest_first,0,200455,True,complete,20.89243375499791,17.168562191000092,0.20580115800112253,3.4866365950001637,0.0,3.4866365950001637,20.655198786000255,98.86449337698198,0.9850511453788411,0.15045547763918285,2,1,21,1,92,20,72,10,26,9,24,False,6,2,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200455/benchmark.csv
highest_first,0,200456,True,complete,132.966331145999,126.59035416100232,2.889638206008385,3.4339614889977383,0.0,3.4339614889977383,130.02431565000006,97.78739815512503,2.173210451926751,0.039391392948215,24,23,65,23,649,42,607,10,26,9,22,False,6,5,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200456/benchmark.csv
highest_first,0,200457,False,total_runtime_limit,2006.7721364180034,1743.6268225409913,258.8029597110217,3.4455359150015283,0.0,3.4455359150015283,1747.0723584559928,87.05883078357054,12.896479625881849,0.04468959054761701,290,289,550,290,7385,260,7125,10,26,0,0,,,,experiments/results/evaluation/current/one_arm_isolated_komo25_10seeds/highest_first/seed_200457/benchmark.csv
