removal_strategy,included_rod_count,expected_runs,recorded_runs,successful_runs,failed_runs,missing_not_attempted_runs,runtime_limit_failures,open_list_exhausted_failures,runtime_successful_mean_s,runtime_successful_median_s,runtime_successful_std_s,runtime_successful_min_s,runtime_successful_max_s
default,141,5,5,5,0,0,0,0,2.9003334094,2.91559639,0.05675885888785272,2.801031807,2.941036026
default,143,5,5,5,0,0,0,0,3.0051841648,3.025464407,0.05366304910106173,2.917686456,3.050147318
default,145,5,5,5,0,0,0,0,3.0365040426,3.066568031,0.07157748931936349,2.908826608,3.077204618
default,147,5,5,5,0,0,0,0,3.0894762018,3.096472876,0.031078100504398347,3.039506589,3.122923148
default,149,5,5,5,0,0,0,0,3.2290736854,3.240545652,0.09314959767789459,3.072184232,3.301922069
highest_first,1,5,5,5,0,0,0,0,0.0007369156,0.000738605,2.504423797602957e-05,0.000703958,0.000761391
highest_first,3,5,5,5,0,0,0,0,0.0022083098,0.002215758,0.00010575128271893442,0.002093249,0.002361315
highest_first,5,5,5,5,0,0,0,0,0.003701096,0.003726984,6.172444636041706e-05,0.003600636,0.003755749
highest_first,7,5,5,5,0,0,0,0,0.0052438538,0.005240682,0.00011770777764744347,0.005119994,0.005389099
highest_first,9,5,5,5,0,0,0,0,0.0069646216,0.006982908,0.00010319154933326638,0.006860083,0.007111533
highest_first,11,5,5,5,0,0,0,0,0.0095096382,0.009606013,0.0002201585231354894,0.009259331,0.009746859
highest_first,13,5,5,5,0,0,0,0,0.0128020744,0.01288993,0.0003409687361860326,0.012246614,0.013160513
highest_first,15,5,5,5,0,0,0,0,0.0166105976,0.01670866,0.00028342496953567836,0.016170175,0.016921123
highest_first,17,5,5,5,0,0,0,0,0.0214201496,0.021591138,0.00036820706143323784,0.020957952,0.021819526
highest_first,19,5,5,5,0,0,0,0,0.027256370000000002,0.027279068,0.0004041433645644832,0.026652599,0.027777319
highest_first,21,5,5,5,0,0,0,0,0.0334804798,0.033669109,0.0006608882877300054,0.03234916,0.034091828
highest_first,23,5,5,5,0,0,0,0,0.0438651764,0.041296914,0.006391559966723756,0.039629439,0.055075121
highest_first,25,5,5,5,0,0,0,0,0.0516920632,0.051717667,0.0006688956367197338,0.05070199,0.052589986
highest_first,27,5,5,5,0,0,0,0,0.0653847638,0.064926839,0.0010362002652268504,0.064444834,0.06709593
